Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1313,DF,5.8,4,2,4,0,0,3,6,50.0,3,7,0,7,8,12,17,0,1313,DF,5.8,1,0,0,10,0,3,8,2,0,0,32,6,9,40.0
1314,MF,20.5,46,24,24,19,3,31,73,42.5,42,20,3,17,23,69,16,1,1314,MF,20.5,4,0,0,30,0,19,23,24,0,0,115,9,31,22.5
1315,"DF,MF",0.2,1,1,0,1,0,0,0,,0,2,2,0,0,1,0,0,1315,"DF,MF",0.2,2,0,0,2,0,0,0,1,0,0,0,1,2,33.3
1316,DF,14.7,32,22,22,7,3,22,39,56.4,17,18,6,12,30,62,55,0,1316,DF,14.7,4,1,1,17,0,4,30,22,1,0,61,22,20,52.4
1317,MF,14.2,34,19,14,15,5,17,28,60.7,11,27,10,17,29,63,30,0,1317,MF,14.2,4,0,0,23,0,4,29,19,0,0,83,7,11,38.9
1318,"MF,DF",1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,2,3,1,0,1318,"MF,DF",1.2,2,0,0,2,0,0,2,1,0,0,14,0,3,0.0
1319,"DF,MF",10.2,20,15,14,5,1,10,15,66.7,5,17,8,9,12,32,44,3,1319,"DF,MF",10.2,0,0,0,12,0,2,12,15,0,0,52,23,17,57.5
1322,DF,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0,1322,DF,17.3,2,0,0,17,0,21,13,19,1,0,121,28,18,60.9
1324,MF,0.3,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,1324,MF,0.3,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0
1325,MF,15.0,20,13,9,8,3,8,24,33.3,16,16,4,12,9,29,12,0,1325,MF,15.0,1,0,0,14,0,81,9,13,0,0,65,13,20,39.4
1326,DF,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2,1326,DF,21.9,4,1,0,25,1,55,20,26,0,1,93,18,31,36.7
1327,"MF,DF",0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1327,"MF,DF",0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1330,MF,14.9,35,22,15,19,1,17,26,65.4,9,12,5,7,22,57,38,0,1330,MF,14.9,5,1,0,25,1,6,22,22,1,0,74,19,18,51.4
1331,DF,9.0,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2,1331,DF,9.0,5,0,0,9,0,2,13,12,1,0,41,6,5,54.5
1333,DF,7.1,16,9,15,1,0,9,14,64.3,5,12,5,7,7,23,28,0,1333,DF,7.1,1,0,0,4,0,1,7,9,0,0,24,10,7,58.8
1334,DF,38.0,47,21,40,6,1,24,32,75.0,8,64,37,27,39,86,182,4,1334,DF,38.0,7,0,0,38,2,6,39,21,1,0,177,86,36,70.5
1335,"MF,DF",24.2,45,33,25,15,5,26,39,66.7,13,32,4,28,14,59,28,1,1335,"MF,DF",24.2,1,1,0,11,2,195,14,33,0,0,140,5,14,26.3
1336,DF,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1,1336,DF,10.5,1,0,0,10,0,12,8,12,0,0,35,15,11,57.7
1337,DF,13.0,24,15,11,11,2,14,22,63.6,8,22,16,6,14,38,46,2,1337,DF,13.0,1,0,0,9,0,1,14,15,0,0,59,23,17,57.5
1338,MF,2.3,4,2,0,4,0,1,3,33.3,2,5,1,4,3,7,4,0,1338,MF,2.3,1,0,0,3,1,0,3,2,0,0,9,4,1,80.0
1339,DF,26.2,37,22,30,4,3,24,36,66.7,12,31,20,11,21,58,94,1,1339,DF,26.2,9,0,0,29,4,8,21,22,0,0,87,42,38,52.5
1341,DF,16.0,15,10,7,7,1,4,13,30.8,9,25,12,13,13,28,64,1,1341,DF,16.0,3,0,0,11,1,8,13,10,0,0,81,16,32,33.3
1343,"MF,DF",23.4,43,26,17,16,10,17,31,54.8,14,40,3,37,20,63,15,0,1343,"MF,DF",23.4,7,1,1,32,2,46,20,26,3,0,92,23,43,34.8
1344,DF,21.3,34,22,27,7,0,19,30,63.3,11,27,19,8,13,47,73,0,1344,DF,21.3,1,0,0,10,0,3,13,22,1,1,152,46,41,52.9
1346,DF,30.4,38,23,26,12,0,17,27,63.0,10,33,24,9,32,70,136,2,1346,DF,30.4,10,0,0,20,0,4,32,23,2,0,138,80,50,61.5
1348,"DF,MF",24.3,65,42,36,25,4,36,57,63.2,21,27,6,21,43,108,58,0,1348,"DF,MF",24.3,15,1,1,48,0,22,43,42,0,0,134,42,41,50.6
1349,MF,27.7,66,44,27,32,7,36,79,45.6,43,37,12,25,16,82,34,1,1349,MF,27.7,5,0,0,19,0,11,16,44,0,0,198,15,16,48.4
1350,DF,24.2,44,32,23,19,2,30,49,61.2,19,22,9,13,21,65,47,0,1350,DF,24.2,4,0,0,29,1,9,21,32,0,0,151,34,32,51.5
1354,"MF,DF",1.3,3,3,3,0,0,3,5,60.0,2,0,0,0,0,3,1,0,1354,"MF,DF",1.3,0,0,0,2,0,1,0,3,0,0,3,0,1,0.0
1355,DF,11.9,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,1355,DF,11.9,4,0,0,17,0,43,13,15,1,0,55,7,12,36.8
1356,DF,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1,1356,DF,17.5,5,1,1,25,0,1,20,22,0,0,97,77,31,71.3
1357,MF,16.3,48,31,18,25,5,13,32,40.6,19,21,4,17,30,78,25,0,1357,MF,16.3,3,0,0,25,2,2,30,31,0,0,114,17,7,70.8
1358,DF,2.1,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,1358,DF,2.1,1,0,0,2,0,1,2,7,0,0,14,0,1,0.0
1359,MF,5.3,13,8,11,2,0,6,10,60.0,4,8,3,5,10,23,10,0,1359,MF,5.3,4,1,1,7,0,1,10,8,0,0,42,12,12,50.0
1362,MF,17.3,45,26,20,20,5,17,25,68.0,8,22,1,21,15,60,16,1,1362,MF,17.3,4,1,0,28,3,3,15,26,1,0,111,21,24,46.7
1363,DF,34.1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,1363,DF,34.1,5,0,0,14,0,17,28,32,1,0,142,30,14,68.2
1364,MF,29.2,39,24,12,22,5,17,50,34.0,33,33,3,30,10,49,35,0,1364,MF,29.2,5,0,0,53,5,121,10,24,1,0,150,29,34,46.0
