"214Patrick OsterhageBochum, 25, DMC",6.55
"215Dominik KohrMainz, 31, D(C),DMC",6.55
"216Angelo StillerHoffenheim, 23, DMC",6.55
"217Lennard MaloneyFC Heidenheim, 25, D(C),DMC",6.55
"218Andreas Hanche-OlsenMainz, 28, D(CR)",6.55
"219Josip JuranovicUnion Berlin, 29, D(LR),M(R)",6.55
"220Robert SkovHoffenheim, 28, D(L),M(CLR)",6.55
"221Josha VagnomanStuttgart, 24, D(LR),M(R)",6.54
"222Jan ThielmannFC Koln, 22, D(R),M(CLR),FW",6.54
"223Robin KnocheUnion Berlin, 32, D(C)",6.54
"224Omar TraoréFC Heidenheim, 27, D(R),M(R)",6.54
"225Luca WaldschmidtFC Koln, 28, AM(CLR),FW",6.54
"226Marvin SchwäbeFC Koln, 29, GK",6.54
"227Matthias BaderDarmstadt, 27, D(R),DMC,M(R)",6.54
"228Jamie LewelingStuttgart, 23, M(CLR),FW",6.53
"229Ansgar KnauffEintracht Frankfurt, 23, M(CLR)",6.53
"230Kevin ParedesWolfsburg, 21, D(L),M(L)",6.53
"231Rafael BorréWerder Bremen, 29, AM(C),FW",6.53
"232Kevin TrappEintracht Frankfurt, 34, GK",6.53
"233Rubén VargasAugsburg, 26, AM(CLR),FW",6.53
"234Marvin PieringerFC Heidenheim, 25, AM(C),FW",6.52
"235Milos VeljkovicWerder Bremen, 29, D(C),DMC",6.52
"236Marcel SchuhenDarmstadt, 32, GK",6.51
"237Manuel NeuerBayern, 38, GK",6.51
"238Mads PedersenAugsburg, 28, D(LR),M(CL)",6.51
"239Thomas MeunierBorussia Dortmund, 33, D(R),M(R)",6.51
"240Yannik KeitelFreiburg, 25, D(C),DMC",6.51
"241Merlin RöhlFreiburg, 22, M(C)",6.51
"242Edimilson FernandesMainz, 28, D(CR),M(CR)",6.5
"243Eric Choupo-MotingBayern, 35, M(CLR),FW",6.5
"244Yorbe VertessenUnion Berlin, 24, AM(CL),FW",6.5
"245Kiliann SildilliaFreiburg, 22, D(CR),M(R)",6.5
"246Maxim LeitschMainz, 26, D(C)",6.5
"247Josuha GuilavoguiMainz, 34, D(C),M(C)",6.49
"248Christopher TrimmelUnion Berlin, 37, D(CR),M(R)",6.49
"249Kevin BehrensWolfsburg, 34, FW",6.49
"250Yannick GerhardtWolfsburg, 30, D(L),M(CL)",6.49
"251Ridle BakuWolfsburg, 26, D(R),M(CR)",6.49
"252David Datro FofanaUnion Berlin, 22, FW",6.49
"253Koen CasteelsWolfsburg, 32, GK",6.48
"254Janis BlaswichRBL, 33, GK",6.48
"255Kevin VogtHoffenheim, 33, D(CR),M(C)",6.48
"256Lucas TousartUnion Berlin, 27, DMC",6.48
"257Hugo LarssonEintracht Frankfurt, 20, DMC",6.47
"258Skelly AlveroWerder Bremen, 22, M(C)",6.47
"259Nick WoltemadeWerder Bremen, 23, AM(C),FW",6.47
"260Gonçalo PaciênciaBochum, 30, FW",6.47
"261Felix PasslackBochum, 26, D(LR),M(CR)",6.46
"262Julian JustvanDarmstadt, 26, D(L),M(CLR)",6.46
"263Christoph BaumgartnerRBL, 25, AM(CLR),FW",6.46
"264Tobias KempeDarmstadt, 35, M(CLR)",6.46
"265Leonardo BittencourtWerder Bremen, 31, M(CLR),FW",6.45
"266Manuel GuldeFreiburg, 34, D(C)",6.45
"267Olivier DemanWerder Bremen, 24, D(L),M(CLR),FW",6.45
"268Sebastiaan BornauwWolfsburg, 25, D(C)",6.45
"269Nathan NgoumouBorussia M.Gladbach, 24, AM(LR)",6.45
"270Mateu MoreyBorussia Dortmund, 24, D(R),M(R)",6.45
"271Aurélio ButaEintracht Frankfurt, 28, D(R),M(R)",6.44
"272Dejan LjubicicFC Koln, 27, M(CLR)",6.44
"273Philipp MaxEintracht Frankfurt, 31, D(L),M(L)",6.44
"274Timo WernerRBL, 28, AM(CLR),FW",6.44
"275Jonas FöhrenbachFC Heidenheim, 29, D(CL),M(L)",6.43
"276Marius BülterHoffenheim, 31, D(R),M(CLR),FW",6.43
"277Karim OnisiwoMainz, 32, AM(CLR),FW",6.43
"278Joe ScallyBorussia M.Gladbach, 22, D(CLR),M(LR)",6.43
"279Salih ÖzcanBorussia Dortmund, 27, M(C)",6.43
"280Arne EngelsAugsburg, 21, M(C)",6.42
"281Elvis RexhbeçajAugsburg, 27, M(C)",6.42
"282Rani KhediraUnion Berlin, 31, D(C),DMC",6.42
"283Lukas KlostermannRBL, 28, D(CLR),M(R)",6.41
"284Youssoufa MoukokoBorussia Dortmund, 20, FW",6.41
"285Kevin KamplRBL, 34, M(CLR)",6.41
"286Christoph ZimmermannDarmstadt, 32, D(C)",6.41
"287Janik HabererUnion Berlin, 30, M(CLR),FW",6.41
"288Anthony RouaultStuttgart, 23, D(C)",6.41
"289Fabian HollandDarmstadt, 34, D(L),DMC,M(L)",6.41
"290Mert KömürAugsburg, 19, Midfielder",6.41
"291Dominique HeintzFC Koln, 31, D(CL)",6.4
"292Aster VranckxWolfsburg, 22, M(C)",6.4
"293Brenden AaronsonUnion Berlin, 24, AM(CLR),FW",6.4
"294Clemens RiedelDarmstadt, 21, D(C)",6.4
"295Takuma AsanoBochum, 30, AM(CLR),FW",6.4
"296Marvin FriedrichBorussia M.Gladbach, 29, D(C)",6.4
"297Karim AdeyemiBorussia Dortmund, 23, AM(LR),FW",6.4
"298Emir KaricDarmstadt, 27, D(L),M(LR)",6.4
"299Mërgim BerishaAugsburg, 26, AM(C),FW",6.4
"300Benedict HollerbachUnion Berlin, 23, AM(CR),FW",6.39
"301Lukas NmechaWolfsburg, 26, AM(CR),FW",6.39
"302Wooyeong JeongStuttgart, 25, AM(CR),FW",6.39
"303Adrian BeckFC Heidenheim, 27, AM(CR)",6.38
"304Tom KraußMainz, 23, DMC",6.38
"305Jordy MakengoFreiburg, 23, D(L)",6.38
"306Sven UlreichBayern, 36, GK",6.38
"307Leonidas StergiouStuttgart, 22, D(R)",6.38
"308Oscar VilhelmssonDarmstadt, 21, FW",6.38
"309Cédric ZesigerWolfsburg, 26, D(C)",6.38
"310Giovanni ReynaBorussia Dortmund, 22, AM(CLR)",6.38
"311Stefan LainerBorussia M.Gladbach, 32, D(R),M(R)",6.38
"312RogérioWolfsburg, 27, D(L),M(L)",6.37
"313Niklas DorschAugsburg, 27, M(C)",6.37
"314Steffen TiggesFC Koln, 26, FW",6.37
"315Patrick WimmerWolfsburg, 23, AM(CLR),FW",6.37
"316Václav CernyWolfsburg, 27, AM(R)",6.37
"317Kevin SessaFC Heidenheim, 24, D(R),M(CR)",6.37
"318Julián MalatiniWerder Bremen, 23, D(CR)",6.36
"319David JurásekHoffenheim, 24, D(L),M(L)",6.36
"320Bryan ZaragozaBayern, 23, AM(LR)",6.36
"321Christopher Antwi-AdjeiBochum, 31, AM(CLR)",6.36
"322Emil ForsbergRBL, 33, AM(CLR),FW",6.36
"323Jirí PavlenkaWerder Bremen, 32, GK",6.36
"324Kevin VollandUnion Berlin, 32, AM(CLR),FW",6.36
"325Fabio ChiarodiaBorussia M.Gladbach, 19, Defender",6.36
"326Leart PaqaradaFC Koln, 30, D(L),M(L)",6.35
"327Norman TheuerkaufFC Heidenheim, 38, D(CL),DMC",6.35
"328Umut TohumcuHoffenheim, 20, M(C)",6.35
"329Noah WeißhauptFreiburg, 23, M(L)",6.35
"330Danny da CostaMainz, 31, D(CR),M(R)",6.35
"331Borja IglesiasLeverkusen, 32, FW",6.35
"332Stanley NsokiHoffenheim, 25, D(CL)",6.34
"333Frans KrätzigBayern, 22, Midfielder",6.34
"334Sargis AdamyanFC Koln, 31, AM(CLR),FW",6.33
"335Patric PfeifferAugsburg, 25, D(C)",6.33
"336Tomás CvancaraBorussia M.Gladbach, 24, FW",6.33
"337Cristian GamboaBochum, 35, D(R),M(R)",6.33
"338Maximilian BauerAugsburg, 25, D(C)",6.33
"339Kevin VogtUnion Berlin, 33, D(CR),M(C)",6.33
